AN	Albums Nieuw	Aloha
AO	Albums Opnieuw	Aloha
DM	Dvd Muziek	Aloha
2e	De 2e kans	Heaven
AR	Artikel	Heaven
ATJ	All that jazz	Heaven
BS	Reservebank	Heaven
D	Dvd's	Heaven
DDD	Domburg Draait Door	Heaven
De10	De 10	Heaven
De5	De 5 van	Heaven
Dee	Deeveedees	Heaven
DGL	De Gebroken Lans	Heaven
Dis	Discografie	Heaven
HCF	Heaven's Choice Folk	Heaven
HCJ	Heaven's Choice Jazz	Heaven
HCP	Heaven's Choice Pop	Heaven
HCW	Heaven's Choice Wereld	Heaven
L&L	Luisteren &cetera	Heaven
LBJS	Luisterparadijs Blues-Jazz-Soul	Heaven
LRF	Luisterparadijs Roots-Folk	Heaven
LRP	Luisterparadijs Rock-Pop	Heaven
LW	Luisterparadijs Wereld	Heaven
M	Meer	Heaven
OVBJS	Ook verschenen Blues-Jazz-Soul	Heaven
OVBJS	Ook verschenen Blues/Jazz/Soul	Heaven
OVCR	Ook verschenen Country/Roots	Heaven
OVFS	Ook verschenen Folk/Songwriter	Heaven
OVP	Ook verschenen Pop	Heaven
OVR	Ook verschenen Rock	Heaven
OVRF	Ook verschenen Roots-Folk	Heaven
OVRP	Ook verschenen Rock-Pop	Heaven
OVW	Ook verschenen Wereld	Heaven
OVW	Ook verschenen Wereld	Heaven
OVWRF	Ook verschenen Wereld/Reggae/Fado	Heaven
R	Review	Heaven
RB	Reservebank	Heaven
RBJS	Blues/Jazz/Soul	Heaven
RCR	Country/Roots	Heaven
Re	Reissues	Heaven
RFS	Folk/Songwriter	Heaven
RP	Pop	Heaven
RR	Rock	Heaven
RW	Recensies Wereld	Heaven
RWRF	Wereld/Reggae/Fado	Heaven
VK	Vergeten klassieker	Heaven
A	Albums	Mojo
AE	Albums Extra	Mojo
ART	Artikel	Mojo
BIABH	Bringing it all back home	Mojo
BT	Buried treasure	Mojo
FA	Filter Albums	Mojo
FAE	Filter Albums Extra	Mojo
FD	Filter Dvd	Mojo
FR	Filter Reissues	Mojo
FRE	Filter Reissues Extra	Mojo
HTB	How to buy 	Mojo
HTB001	How to buy Blaxploitation soundtracks	Mojo
HTB002	How to buy New York punk	Mojo
HTB003	How to buy '60s girl groups	Mojo
HTB004	How to buy Curtis Mayfield	Mojo
HTB005	How to buy '90s powerpop	Mojo
HTB006	How to buy '60s French pop	Mojo
HTB007	How to buy Old skool hip hop	Mojo
HTB008	How to buy Tropicália	Mojo
HTB009	How to buy Sunshine pop	Mojo
HTB010	How to buy prog exotica	Mojo
HTB011	How to buy British folk revival	Mojo
HTB012	How to buy Japanese psychedlia	Mojo
HTB013	How to buy Western swing	Mojo
HTB014	How to buy Doo wop	Mojo
HTB015	How to buy Frank Sinatra	Mojo
HTB016	How to buy '80s hard core	Mojo
HTB017	How to buy Detroit techno	Mojo
HTB018	How to buy Rock movie scores 1956-70	Mojo
HTB019	How to buy Acid folk	Mojo
HTB020	How to buy Classic bootlegs	Mojo
HTB021	How to buy Krautjazz	Mojo
HTB022	How to buy African funk	Mojo
HTB023	How to buy John Lee Hooker	Mojo
HTB024	How to buy Neil Young	Mojo
HTB025	How to buy Iggy Pop	Mojo
HTB026	How to buy Ennio Morricone	Mojo
HTB027	How to buy The readers' choice!	Mojo
HTB028	How to buy Malian music	Mojo
HTB029	How to buy Jerry Lee Lewis	Mojo
HTB030	How to buy Riot grrrl	Mojo
HTB031	How to buy Guided by voices	Mojo
HTB032	How to buy Van Morrison	Mojo
HTB033	How to buy Quincy Jones	Mojo
HTB034	How to buy George Clinton	Mojo
HTB035	How to buy Talking heads	Mojo
HTB036	How to buy Tom Waits	Mojo
HTB037	How to buy Bee gees	Mojo
HTB038	How to buy Julian Cope	Mojo
HTB039	How to buy Essential gospel	Mojo
HTB040	How to buy Joni Mitchell	Mojo
HTB041	How to buy Library music	Mojo
HTB042	How to buy Smokey Robinson	Mojo
HTB043	How to buy Bruce Springsteen	Mojo
HTB044	How to buy Solo Beatles	Mojo
