fpv	"""Ene"" FPV"	"""Ene"" FPV"																																										0		1			fpv		0															0													0																																																		0		0	
gvh	"""Ene"" GVH"	"""Ene"" GVH"																																										0		1			gvh		0															0													0																																																		0		0	
gw	"""Ene"" 'GW"	"""Ene"" 'GW"																																										0		1			gw		0															0													0																																																		0		0	
rb?	"""Ene"" RB"	"""Ene"" RB"			G																				1																										0															0													0																																																		0		0	
wjm	"""Ene"" WJM"	"""Ene"" WJM"																																										0		1			wjm		0															0													0																																																		0		0	
mcp	Recensent onbekend	?			G																				1																			1							0															0													0																																																		0		0	
mjk	Ene jk (onbekend)	?			G																				1																			1							0															0													0																																																		0		0	
mri	Ene ri (onbekend)	?			G																				1																			1							0															0													0																																																		0		0	
fvda	Fenneke van de Aa	Aa, Fenneke van de			K																								1															1							0															0													0																																																		0		0	
tvaalten	Thomas van Aalten	Aalten, Thomas van	AaltenT.htm																																									0						Schrijver	2															0													0																																									1		1							2	1	2	1
baanstoot	Bert Aanstoot	Aanstoot, Bert																																																	0															0													0																																																		0		0	
eda	Eddie Aarts	Aarts, Eddie	AartsE.htm	10 13														1					1																					2		1		a	Eddie		11				1	1	1	1	1	1	1	1	1	1	1	11													0																																																		0		0	
kabbott	Kingsley Abbott	Abbott, Kingsley			G																				1																			1		1			KIngsley		0															0													0																																																		0		0	
fa	Fer Abrahams	Abrahams, Fer	AbrahamsF.htm																																									0	Grote prijs van Nederland	10		a	Fer		5															0													0					1	1			1	1						1																																		5		0	
avadrichem	Arnoud van Adrichem	Adrichem, Arnoud van																																																	0															0													0																																																		0	1	0	
pva	Pieter van Adrichem	Adrichem, Pieter van	AdrichemP.htm		D														1																									1	Oor	6		a	Pieter	Pop Instituut	5															0													0																											1	1	1	1													1							5		1	1
ma	Monique Aerts	Aerts, Monique	AertsM.htm		D K														1										1															2	Oor	3		a	Monique		1															0													0																																1																		1		0	
magarwal	Manish Agarwal	Agarwal, Manish			G																				1																			1		2			Manish		0															0													0																																																		0		0	
joosta	Joost Agterhoek	Agterhoek, Joost																																																	0															0													0																																																		0		0	
saitken	Stuart Aitken	Aitken, Stuart			G																				1																			1		1			Stuart		0															0													0																																																		0		0	
jvaken	Jan van Aken	Aken, Jan van																																																	0															0													0																																																		0	1	0	
Akkerman	Jan Akkerman	Akkerman, Jan			B										1																																				1	1														0													0																																																		0		0	
Akkermans	Simon Akkermans	Akkermans, Simon			B										1																																			C-mon & Kypski	1	1														0													0																																																		0		0	
dalbarn	Damon Albarn	Albarn, Damon		13	G																		1		1																			2		1			Damon		0															0													0																																																		0		0	
lalberg	Leanne Alberghini	Alberghini, Leanne			G K																				1				1															2							0															0													0																																																		0		0	
salbini	Steve Albini	Albini, Steve			G																				1																			1							0															0													0																																																		0		0	
jalbronda	Jeanine Albronda	Albronda, Jeanine	AlbrondaJ.htm		C K												1												1															2	Update			a	Jeanine		2															0													0																														1	1																			2		0	
palex	Phil Alexander	Alexander, Phil		2 6 14 16	G I		1					1													1		1					1		1										6		1			Phil		0															0													0																																																		0		0	
jimallen	Jim Allen	Allen, Jim			G																				1																										0															0													0																																																		0		0	
ka	Kate Allen	Allen, Kate			G K																				1				1																																					0													0																																																		0			
mallen	Matt Allen	Allen, Matt			G																				1																			1		2					0															0													0																																																		0		0	
rallen	Richard Allen	Allen, Richard			G																				1																			1							0															0													0																																																		0		0	
AloeBlacc	Aloe Blacc	Aloe Blacc			B G										1										1																																																																																																											
jva	Jim van Alphen	Alphen, Jim van	AlphenJ.htm		D L														1											1														2	Parool	1		a	Jim		8															0													0		1	1	1	1	1		1	1							1																																		8		0	
altsusan	Susanna Alt	Alt, Susanna			K																								1																					Saxofoniste	1															0							1						1																																																		0		0	
baltman	Billy Altman	Altman, Billy			G																				1																			1		1					0															0													0																																																		0		0	
ea	Edwin Ammerlaan	Ammerlaan, Edwin	AmmerlaanE.htm	2 5 6 7 12 14 16 17 22	D		1				1	1	1						1		1											1		1	1					1				10	Oor, Power unlimited	13		a	Edwin	Revolver	14															0													0																			1		1	1	1	1	1	1	1	1	1	1	1	1											1							14		1	1
evandel	Edwin van Andel	Andel, Edwin van	AndelE.htm																																															Melkweg	1															0													0																																													1					1		1	1
AndersonL	Laurie Anderson	Anderson, Laurie			B G										1										1				1																																																																																																							
tanderson	Thomas Anderson	Anderson, Thomas			G																				1																			1		13			Thomas		0															0													0																																																		0		0	
tandrews	Tess Andrews	Andrews, Tess			G K																				1				1															2							0															0													0																																																		0		0	
mandriesse	Mischa Andriessen	Andriessen, Mischa			B										1																																																															1	1																																																					
ranker	Robert Anker	Anker, Robert																																																	0															0													0																																																		0	1	0	
nantonia	Nina Antonia	Antonia, Nina			G K																				1				1															2							0															0													0																																																		0		0	
mira	Miranda Apeldoorn	Apeldoorn, Miranda	ApeldoornM.htm	15 17	K																								1				1		1									3		1		a	Miranda		4		1	1		1	1									4													0																																																		0		0	
ArgosE	Eddie Argos	Argos, Eddie			G																				1																																																																																																											
lilya	Lily Armstrong	Armstrong, Lil			G K																				1				1																																																																																																							
jvas	Jon van As	As, Jon van																																										0		1			Jon		0															0													0																																																		0		0	
Phari	Hari Ashurst	Ashurst, Hari			G																				1																																									0													0																																																		0			
